customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,source,TotalSpend,TenureGroup,AvgSpendPerMonth
7590-VHVEG,0.0,0.0,1.0,0.0,0.013888888888888907,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.11542288557213937,0.001275098084468036,0,kaggle,0.7350289097470539,,0.6232313897848715
5575-GNVDE,1.0,0.0,0.0,0.0,0.4722222222222222,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.3850746268656717,0.21586660512347103,0,kaggle,0.4539025751029962,0-1.6137012404433893m,0.6976693952854047
3668-QPYBK,1.0,0.0,0.0,0.0,0.027777777777777814,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35422885572139295,0.010310408492960998,1,kaggle,0.5412197344868087,,0.6230640806973091
7795-CFOCW,1.0,0.0,0.0,0.0,0.625,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.2393034825870646,0.21024117239787676,0,kaggle,0.3851547566851177,0-1.6137012404433893m,0.6326379325222685
9237-HQITU,0.0,0.0,0.0,0.0,0.027777777777777814,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5218905472636816,0.015330025386568196,1,kaggle,0.41136886830258235,,0.6229722471764496
9305-CDSKC,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8099502487562189,0.09251096238172167,1,kaggle,0.24138669758402684,,0.6211337798882017
1452-KIOVK,1.0,0.0,0.0,1.0,0.3055555555555556,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.7049751243781094,0.22277867528271408,0,kaggle,0.3930838258534125,,0.611240725972186
6713-OKOMC,0.0,0.0,0.0,0.0,0.13888888888888892,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11442786069651735,0.03266789753057927,0,kaggle,0.6558710687978886,,0.6224271350450115
7892-POOKP,0.0,0.0,1.0,0.0,0.3888888888888889,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8611940298507462,0.3493249480729287,1,kaggle,0.4127237797034767,,0.5786122452917386
6388-TABGU,1.0,0.0,0.0,1.0,0.861111111111111,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3771144278606965,0.4003173321024694,0,kaggle,0.39238900522132153,0-1.6137012404433893m,0.6308403411736544
9763-GRSKD,1.0,0.0,1.0,1.0,0.18055555555555558,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.31542288557213927,0.06561850911608587,0,kaggle,0.5299332260375103,,0.6213479838720385
7469-LKBCI,1.0,0.0,0.0,0.0,0.22222222222222227,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.3333333333333333,0.00696517412935331,0.035541195476575124,0,kaggle,0.6474313337373166,,0.6220124976752838
8091-TTVAX,1.0,0.0,1.0,0.0,0.8055555555555556,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.3333333333333333,0.8169154228855721,0.6533925686591276,0,kaggle,0.6885614388772582,0-1.6137012404433893m,0.6375050945152474
0280-XJGEX,1.0,0.0,0.0,0.0,0.6805555555555556,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8502487562189055,0.578986845141934,1,kaggle,0.6214256553398209,0-1.6137012404433893m,0.6427112044612158
5129-JLPIS,1.0,0.0,0.0,0.0,0.34722222222222227,1.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.8681592039800995,0.30778329102238633,0,kaggle,0.3809369516907999,,0.5999281330881648
3655-SNQYZ,0.0,0.0,1.0,1.0,0.9583333333333335,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.945273631840796,0.9088795291945534,0,kaggle,0.9077860001449649,0-1.6137012404433893m,0.6371124690723343
8191-XWSZG,0.0,0.0,0.0,0.0,0.7222222222222223,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.023880597014925314,0.1158723747980614,0,kaggle,0.23742999343119225,0-1.6137012404433893m,0.6266338305168816
9959-WOFKT,1.0,0.0,0.0,1.0,0.986111111111111,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8800995024875622,0.8496942072467113,0,kaggle,0.868192286153668,0-1.6137012404433893m,0.6355456155458894
4190-MFLUW,0.0,0.0,1.0,1.0,0.13888888888888892,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.36766169154228856,0.058798753750288486,1,kaggle,0.5114070145900769,,0.6217781163046772
4183-MYFRB,0.0,0.0,0.0,0.0,0.2916666666666667,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.7144278606965174,0.2127971382414032,0,kaggle,0.3841672811132444,,0.6127883086231936
8779-QRDMV,1.0,1.0,0.0,0.0,0.013888888888888907,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.21293532338308452,0.0024059543041772442,1,kaggle,0.6570207155384368,,0.6232113603428526
1680-VDCWW,1.0,0.0,1.0,0.0,0.1666666666666667,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.015422885572139214,0.021168936072005536,0,kaggle,0.6895342353176,,0.6226558277706628
1066-JKSGK,1.0,0.0,0.0,0.0,0.013888888888888907,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.018905472636815836,0.00015578121393953356,1,kaggle,0.8122411019739508,,0.6232512148448289
3638-WEABW,0.0,0.0,1.0,0.0,0.8055555555555556,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.4144278606965174,0.4022963304869605,0,kaggle,0.42551562417470423,0-1.6137012404433893m,0.6320612846920348
6322-HRPFA,1.0,0.0,1.0,1.0,0.6805555555555556,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.41144278606965173,0.34058389106854375,0,kaggle,0.4353521374143099,0-1.6137012404433893m,0.6347451868491455
6865-JZNKO,0.0,0.0,0.0,0.0,0.4166666666666667,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3686567164179104,0.17445188091391645,0,kaggle,0.46282375469473275,,0.5819042375621569
